日期	     累计确诊	现有确诊（含重症）	现有疑似	现有重症	累计死亡	累计治愈	累计确诊+现有疑似	新增确诊	新增疑似	新增(疑似+确诊)	死亡/确诊	观察中	更新时间	备注
16/2/2020	70548	57934	7264	10644	1770	10844	77812	2048	1563	3611	2.51%	150539	17/2/2020	截至2月16日24时
17/2/2020	72436	58016	6242	11741	1868	12552	78678	1886	1432	3318	2.58%	141552	18/2/2020	截至2月17日24时
18/2/2020	74185	57805	5248	11977	2004	14376	79433	1749	1185	2934	2.70%	135881	19/2/2020	截至2月18日24时
19/2/2020	74576	56303	4922	11864	2118	16155	79498	394	1277	1671	2.84%	126363	20/2/2020	截至2月19日24时
20/2/2020	75465	54965	5206	11633	2236	18264	80671	889	1614	2503	2.96%	120302	21/2/2020	截至2月20日24时
21/2/2020	76288	53284	5365	11477	2345	20659	81653	397	1361	1758	3.07%	113564	22/2/2020	截至2月21日24时
22/2/2020	76936	51606	4148	10968	2442	22888	81084	648	882	1530	3.17%	106089	23/2/2020	截至2月22日24时
23/2/2020	77150	49824	3434	9915	2592	24734	80584	409	620	1029	3.36%	97481	24/2/2020	截至2月23日24时
24/2/2020	77658	47672	2824	9126	2663	27323	80482	508	530	1038	3.43%	87902	25/2/2020	截至2月24日24时
25/2/2020	78064	45604	2491	8752	2715	29745	80555	406	439	845	3.48%	79108	26/2/2020	截至2月25日24时
26/2/2020	78497	43258	2358	8346	2744	32495	80855	433	508	941	3.50%	71572	27/2/2020	截至2月26日24时
27/2/2020	78824	39919	2308	7952	2788	36117	81132	327	452	779	3.54%	65225	28/2/2020	截至2月27日24时
28/2/2020	79251	37414	1418	7664	2835	39002	80669	427	248	675	3.58%	58233	29/2/2020	截至2月28日24时
29/2/2020	79824	35329	851	7365	2870	41625	80675	573	132	705	3.60%	51856	1/3/2020	截至2月29日24时
1/3/2020	80026	32652	715	7110	2912	44462	80741	202	141	343	3.64%	46219	2/3/2020	截至3月1日24时
2/3/2020	80151	30004	587	6806	2943	47204	80738	125	129	254	3.67%	40651	3/3/2020	截至3月2日24时
3/3/2020	80270	27433	520	6416	2981	49856	80790	119	143	262	3.71%	36432	4/3/2020	截至3月3日24时
4/3/2020	80409	25352	522	5952	3012	52045	80931	139	143	282	3.75%	32870	5/3/2020	截至3月4日24时
5/3/2020	80552	23784	482	5737	3042	53726	81034	143	102	245	3.78%	29896	6/3/2020	截至3月5日24时
6/3/2020	80651	22177	502	5489	3070	55404	81153	99	99	198	3.81%	26730	7/3/2020	截至3月6日24时
7/3/2020	80695	20533	458	5264	3097	57065	81153	44	84	128	3.84%	23074	8/3/2020	截至3月7日24时
