phenotype ,taxonomy rank level ,NCBI taxon id ,scientific name ,super kingdom ,Nr. runs in which the species/genus can be found ,mean relative abundance ,median relative abundance ,SD of relative abundance
D006262 ,species ,436 ,Komagataeibacter hansenii ,Bacteria ,8 ,0.00070848975 ,0.000582428 ,0.000704650431406899 ,
D006262 ,species ,437 ,Acidomonas methanolica ,Bacteria ,1 ,0.000430254 ,0.000430254 , ,
D006262 ,species ,438 ,Acetobacter pasteurianus ,Bacteria ,101 ,0.0522006942623762 ,0.00282496 ,0.19600611093059 ,
D006262 ,species ,442 ,Gluconobacter oxydans ,Bacteria ,15 ,0.0034681722 ,0.00201706 ,0.00597481353831981 ,
D006262 ,species ,446 ,Legionella pneumophila ,Bacteria ,99 ,0.00879884126969697 ,0.00143178 ,0.0302443035432445 ,
D006262 ,species ,447 ,Fluoribacter bozemanae ,Bacteria ,1 ,0.000575218 ,0.000575218 , ,
D006262 ,species ,449 ,Legionella hackeliae ,Bacteria ,75 ,0.002225777716 ,0.00111323 ,0.0040153750929515 ,
D006262 ,species ,450 ,Legionella longbeachae ,Bacteria ,10 ,0.123505299 ,0.0841899 ,0.107281948457469 ,
D006262 ,species ,451 ,Tatlockia micdadei ,Bacteria ,2 ,0.00698977 ,0.00698977 ,0.00149056695260562 ,
D006262 ,species ,453 ,Legionella feeleii ,Bacteria ,121 ,0.00270019607190083 ,0.00198267 ,0.00281187487153874 ,
D006262 ,species ,454 ,Legionella israelensis ,Bacteria ,1 ,0.000673954 ,0.000673954 , ,
D006262 ,species ,456 ,Legionella jordanis ,Bacteria ,9 ,0.00158588944444444 ,0.00161561 ,0.00112255378537323 ,
D006262 ,species ,464 ,Fluoribacter gormanii ,Bacteria ,2 ,0.00294215 ,0.00294215 ,0.00230444685775133 ,
D006262 ,species ,466 ,Legionella maceachernii ,Bacteria ,3 ,0.00182328666666667 ,0.00193397 ,0.000357350815352831 ,
D006262 ,species ,470 ,Acinetobacter baumannii ,Bacteria ,552 ,0.109503694807065 ,0.003536555 ,1.15151415235814 ,
D006262 ,species ,471 ,Acinetobacter calcoaceticus ,Bacteria ,167 ,0.0423323992874252 ,0.00363738 ,0.197223149436785 ,
D006262 ,species ,472 ,Acinetobacter sp. ,Bacteria ,31 ,0.0451764516129032 ,0.02546 ,0.0557841150955113 ,
D006262 ,species ,476 ,Moraxella bovis ,Bacteria ,24 ,0.0010453358125 ,0.0007921965 ,0.00085619980630233 ,
D006262 ,species ,477 ,Moraxella lacunata ,Bacteria ,39 ,0.0208782264615385 ,0.00139782 ,0.113979982327929 ,
D006262 ,species ,478 ,Moraxella nonliquefaciens ,Bacteria ,181 ,0.40476185430221 ,0.00427338 ,2.86999543169188 ,
D006262 ,species ,480 ,Moraxella catarrhalis ,Bacteria ,180 ,0.636414307238889 ,0.003093955 ,5.1241504465572 ,
D006262 ,species ,483 ,Neisseria cinerea ,Bacteria ,1054 ,0.208886417618596 ,0.00280971 ,1.23290806714103 ,
D006262 ,species ,484 ,Neisseria flavescens ,Bacteria ,23 ,0.0715873913043478 ,0.03 ,0.131600941182645 ,
D006262 ,species ,485 ,Neisseria gonorrhoeae ,Bacteria ,2 ,0.04946675 ,0.04946675 ,0.068137587252595 ,
D006262 ,species ,486 ,Neisseria lactamica ,Bacteria ,345 ,0.0108922975130435 ,0.00363848 ,0.0642329911595417 ,
D006262 ,species ,487 ,Neisseria meningitidis ,Bacteria ,166 ,0.0212707958373494 ,0.002623645 ,0.0589864895175386 ,
D006262 ,species ,488 ,Neisseria mucosa ,Bacteria ,748 ,0.0717576023034759 ,0.003249675 ,0.409470015847581 ,
D006262 ,species ,489 ,Neisseria polysaccharea ,Bacteria ,28 ,0.00228309014285714 ,0.00252538 ,0.0017431140968402 ,
D006262 ,species ,490 ,Neisseria sicca ,Bacteria ,13 ,0.00510567643846154 ,0.00253 ,0.00753345932220368 ,
D006262 ,species ,493 ,Neisseria canis ,Bacteria ,94 ,0.00661277646276596 ,0.001014785 ,0.0334554302065884 ,
D006262 ,species ,495 ,Neisseria elongata ,Bacteria ,276 ,0.00457657360144928 ,0.001671845 ,0.012858708945645 ,
D006262 ,species ,496 ,Neisseria macacae ,Bacteria ,442 ,0.0425379770271493 ,0.00260177 ,0.39988010206754 ,
D006262 ,species ,498 ,Psychrobacter immobilis ,Bacteria ,15 ,0.00157478304666667 ,0.00071821 ,0.0028708561744802 ,
D006262 ,species ,500 ,Thermomicrobium roseum ,Bacteria ,154 ,0.00266391081168831 ,0.00245955 ,0.00222529321517038 ,
D006262 ,species ,502 ,Kingella denitrificans ,Bacteria ,23 ,0.00251875830434783 ,0.00243534 ,0.00114617303185202 ,
D006262 ,species ,504 ,Kingella kingae ,Bacteria ,1 ,9.20665e-05 ,9.20665e-05 , ,
D006262 ,species ,505 ,Kingella oralis ,Bacteria ,79 ,0.0186562208481013 ,0.0028144 ,0.0391184238574478 ,
D006262 ,species ,511 ,Alcaligenes faecalis ,Bacteria ,116 ,0.203970923575 ,0.003691405 ,1.38695823220427 ,
D006262 ,species ,512 ,Alcaligenes sp. ,Bacteria ,15 ,0.010996 ,0.01074 ,0.0081941187968654 ,
D006262 ,species ,518 ,Bordetella bronchiseptica ,Bacteria ,68 ,0.00248390745588235 ,0.00139252 ,0.00491806028918199 ,
D006262 ,species ,519 ,Bordetella parapertussis ,Bacteria ,1 ,0.00414443 ,0.00414443 , ,
D006262 ,species ,520 ,Bordetella pertussis ,Bacteria ,10 ,0.0023366408 ,0.00176392 ,0.00206212679167401 ,
D006262 ,species ,521 ,Bordetella avium ,Bacteria ,52 ,0.00280708469230769 ,0.00260498 ,0.00201992739928038 ,
D006262 ,species ,523 ,Acidiphilium angustum ,Bacteria ,1 ,0.00414413 ,0.00414413 , ,
D006262 ,species ,524 ,Acidiphilium cryptum ,Bacteria ,57 ,0.043687444245614 ,0.000821558 ,0.203842214392895 ,
D006262 ,species ,526 ,Acidiphilium rubrum ,Bacteria ,4 ,0.01391618625 ,0.01421625 ,0.0130551668792254 ,
D006262 ,species ,529 ,Ochrobactrum anthropi ,Bacteria ,192 ,0.0443282426927083 ,0.00352095 ,0.227136399678704 ,
D006262 ,species ,531 ,Polaribacter irgensii ,Bacteria ,16 ,0.001357313375 ,0.000996546 ,0.000941558487994656 ,
D006262 ,species ,533 ,Beijerinckia indica ,Bacteria ,6 ,0.000714488 ,0.0005776105 ,0.000516923511834004 ,
D006262 ,species ,536 ,Chromobacterium violaceum ,Bacteria ,16 ,0.00419502375 ,0.0026253 ,0.00540409109704786 ,
D006262 ,species ,537 ,Iodobacter fluviatilis ,Bacteria ,17 ,0.00197306252941176 ,0.00139619 ,0.00183879465694562 ,
D006262 ,species ,539 ,Eikenella corrodens ,Bacteria ,170 ,0.0153807825176471 ,0.003054115 ,0.0493072446144796 ,
D006262 ,species ,542 ,Zymomonas mobilis ,Bacteria ,542 ,0.00753244872324723 ,0.002244835 ,0.0324568222217686 ,
D006262 ,species ,545 ,Citrobacter koseri ,Bacteria ,28 ,0.125533928571429 ,0.048925 ,0.203937325073339 ,
D006262 ,species ,546 ,Citrobacter freundii ,Bacteria ,669 ,0.326528006127504 ,0.0105 ,1.79290581022731 ,
D006262 ,species ,548 ,[Enterobacter] aerogenes ,Bacteria ,134 ,4.105519015 ,0.04474 ,15.3769594043778 ,
D006262 ,species ,549 ,Pantoea agglomerans ,Bacteria ,262 ,0.0165511771515267 ,0.00253721 ,0.120431852959307 ,
D006262 ,species ,550 ,Enterobacter cloacae ,Bacteria ,956 ,1.00000824108996 ,0.028285 ,6.90301988978741 ,
D006262 ,species ,553 ,Pantoea ananatis ,Bacteria ,691 ,0.0655052320014472 ,0.0041266 ,1.18113429478587 ,
D006262 ,species ,554 ,Pectobacterium carotovorum ,Bacteria ,1 ,0.00285822 ,0.00285822 , ,
D006262 ,species ,562 ,Escherichia coli ,Bacteria ,8324 ,1.99706166214224 ,0.09580565 ,7.1511087003246 ,
D006262 ,species ,563 ,Shimwellia blattae ,Bacteria ,209 ,0.0063119721722488 ,0.00198397 ,0.0290134721541934 ,
D006262 ,species ,564 ,Escherichia fergusonii ,Bacteria ,23 ,0.0560586956521739 ,0.02015 ,0.094152833072054 ,
D006262 ,species ,565 ,Escherichia hermannii ,Bacteria ,11 ,0.577966363636364 ,0.0537 ,1.64342491186712 ,
